1,6.488257599498017e-07,4.704229649004844e-09
2,6.649262131139016e-07,3.771725937090636e-09
3,1.862762812326219e-07,1.0882652660369198e-09
4,6.555402995260297e-07,4.752156588279104e-09
5,6.677138921944326e-07,5.898317715933269e-09
6,6.4778892590988e-07,4.358750444487035e-09
7,6.580399110782665e-07,5.81651076910383e-09
8,6.63608698644239e-07,5.76439121395733e-09
9,6.509044274344845e-07,3.6949507592177883e-09
10,6.605325433188766e-07,4.789550781809923e-09
11,6.516762385398292e-07,4.724652833172851e-09
12,6.589016498554039e-07,3.5767746902280986e-09
13,8.107076144464005e-07,6.042168264187895e-09
14,6.517958700833134e-07,5.767197198015388e-09
15,6.702035741182058e-07,5.821972636026436e-09
